city,city_ascii,lat,lng,country,population
Kusatsu,Kusatsu,35.0167,135.9667,Japan,141928
Fukayachō,Fukayacho,36.2,139.2833,Japan,141966
Ishizaki,Ishizaki,38.4281,141.3061,Japan,141293
Kuwana,Kuwana,35.0622,136.6839,Japan,139587
Koga,Koga,36.1833,139.7,Japan,139274
Tsuchiura,Tsuchiura,36.0667,140.2,Japan,138517
Kokubunji,Kokubunji,35.7108,139.4622,Japan,127790
Zama,Zama,35.4886,139.4075,Japan,130608
Yaizu,Yaizu,34.8667,138.3167,Japan,136807
Inazawa,Inazawa,35.25,136.7833,Japan,135676
Kisarazu,Kisarazu,35.3761,139.9169,Japan,135765
Ōme,Ome,35.7883,139.275,Japan,133824
Isahaya,Isahaya,32.8442,130.0536,Japan,134503
Abiko,Abiko,35.8642,140.0282,Japan,131026
Onomichi,Onomichi,34.4089,133.205,Japan,132675
Narita,Narita,35.7833,140.3167,Japan,132293
Iwakuni,Iwakuni,34.1669,132.2197,Japan,130372
Kadoma,Kadoma,34.7333,135.5833,Japan,119692
Ōmiyachō,Omiyacho,35.2222,138.6214,Japan,128501
Seto,Seto,35.2167,137.0833,Japan,127653
Iizuka,Iizuka,33.6458,130.6914,Japan,126715
Daitōchō,Daitocho,34.7119,135.6233,Japan,119986
Honchō,Honcho,35.7581,139.5297,Japan,116482
Ise,Ise,34.4833,136.7167,Japan,123783
Honmachi,Honmachi,32.5178,130.6181,Japan,123758
Tsuruoka,Tsuruoka,38.7217,139.8217,Japan,123437
Yonashiro-teruma,Yonashiro-teruma,26.3792,127.8575,Japan,121294
Kashiwara,Kashiwara,34.5094,135.7925,Japan,122003
Handa,Handa,34.8992,136.9267,Japan,118145
Fujimino,Fujimino,35.8794,139.5197,Japan,112689
Ebetsu,Ebetsu,43.1039,141.5361,Japan,119509
Nobeoka,Nobeoka,32.5822,131.665,Japan,119309
Beppu,Beppu,33.2847,131.4911,Japan,118499
Kōnosu,Konosu,36.0658,139.5222,Japan,117373
Ikoma,Ikoma,34.6919,135.7006,Japan,116816
Akishima,Akishima,35.7056,139.3536,Japan,112005
Kōenchō,Koencho,43.8081,143.8942,Japan,116848
Niihama,Niihama,33.9603,133.2834,Japan,116392
Nasushiobara,Nasushiobara,36.9617,140.0461,Japan,116043
Shibuya,Shibuya,35.6536,139.7092,Japan,102056
Sano,Sano,36.3144,139.5783,Japan,115784
Otaru,Otaru,43.1833,141,Japan,114947
Nagahama,Nagahama,35.3833,136.2833,Japan,115069
Hatsukaichi,Hatsukaichi,34.3486,132.3317,Japan,114975
Hōfu,Hofu,34.05,131.5667,Japan,114256
Kamagaya,Kamagaya,35.7769,140.0008,Japan,109525
Hikone,Hikone,35.2744,136.2597,Japan,113818
Ōshū,Oshu,39.1444,141.1389,Japan,114246
Habikino,Habikino,34.5578,135.6061,Japan,109553
Higashiōmi,Higashiomi,35.1128,136.2078,Japan,113165
Tondabayashichō,Tondabayashicho,34.4992,135.5972,Japan,110132
Kazo,Kazo,36.1314,139.6019,Japan,110921
Sandachō,Sandacho,34.8894,135.2253,Japan,110820
Shirayamamachi,Shirayamamachi,36.5144,136.5656,Japan,110188
Mineshita,Mineshita,35.1186,138.9186,Japan,108118
Ikeda,Ikeda,34.8167,135.4333,Japan,104169
Tajimi,Tajimi,35.3328,137.1322,Japan,107535
Toride,Toride,35.9114,140.0503,Japan,104667
Saijō,Saijo,33.9196,133.1812,Japan,105020
Sakado,Sakado,35.9572,139.4031,Japan,101531
Isehara,Isehara,35.4028,139.315,Japan,102137
Ginowan,Ginowan,26.2817,127.7783,Japan,98093
Inzai,Inzai,35.8322,140.1458,Japan,100907
Chikusei,Chikusei,36.3072,139.9831,Japan,100816
Kani,Kani,35.4258,137.0611,Japan,100031
Kōnan,Konan,35.3333,136.8667,Japan,97893
Sakata,Sakata,38.9144,139.8364,Japan,100916
Tsuyama,Tsuyama,35.1406,134.0319,Japan,100387
Yashio,Yashio,35.8228,139.8392,Japan,92672
Yotsukaidō,Yotsukaido,35.67,140.1683,Japan,92668
Ōbu,Obu,35.0167,136.9667,Japan,92101
Nisshin,Nisshin,35.1333,137.0333,Japan,91514
Takasagochō-takasemachi,Takasagocho-takasemachi,34.7658,134.7906,Japan,88223
Kitanagoya,Kitanagoya,35.25,136.8667,Japan,85899
Higashiyamato,Higashiyamato,35.7456,139.4267,Japan,84223
